({'Class Name: democrat', 'handicapped-infants: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9102564102564102')
({'religious-groups-in-schools: yes', 'Class Name: republican'}, {'mx-missile: no', 'physician-fee-freeze: yes'}, 'confidence: 0.9194630872483222')
({'religious-groups-in-schools: yes', 'Class Name: republican', 'physician-fee-freeze: yes'}, {'mx-missile: no'}, 'confidence: 0.9319727891156463')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'physician-fee-freeze: yes'}, {'Class Name: republican'}, 'confidence: 0.9383561643835616')
({'mx-missile: no', 'Class Name: republican'}, {'religious-groups-in-schools: yes', 'physician-fee-freeze: yes'}, 'confidence: 0.9383561643835616')
({'mx-missile: no', 'Class Name: republican', 'physician-fee-freeze: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9448275862068966')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'Class Name: republican'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9927536231884058')
({'physician-fee-freeze: yes', 'adoption-of-the-budget-resolution: no'}, {'Class Name: republican', 'crime: yes'}, 'confidence: 0.910958904109589')
({'physician-fee-freeze: yes', 'crime: yes', 'adoption-of-the-budget-resolution: no'}, {'Class Name: republican'}, 'confidence: 0.9637681159420289')
({'Class Name: republican', 'adoption-of-the-budget-resolution: no'}, {'physician-fee-freeze: yes', 'crime: yes'}, 'confidence: 0.9366197183098591')
({'Class Name: republican', 'physician-fee-freeze: yes', 'adoption-of-the-budget-resolution: no'}, {'crime: yes'}, 'confidence: 0.95')
({'Class Name: republican', 'crime: yes', 'adoption-of-the-budget-resolution: no'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9851851851851852')
({'mx-missile: no', 'physician-fee-freeze: yes', 'crime: yes'}, {'Class Name: republican'}, 'confidence: 0.9383561643835616')
({'mx-missile: no', 'Class Name: republican'}, {'physician-fee-freeze: yes', 'crime: yes'}, 'confidence: 0.9383561643835616')
({'mx-missile: no', 'Class Name: republican', 'physician-fee-freeze: yes'}, {'crime: yes'}, 'confidence: 0.9448275862068966')
({'mx-missile: no', 'Class Name: republican', 'crime: yes'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9927536231884058')
({'duty-free-exports: no', 'physician-fee-freeze: yes'}, {'Class Name: republican', 'crime: yes'}, 'confidence: 0.9')
({'duty-free-exports: no', 'physician-fee-freeze: yes', 'crime: yes'}, {'Class Name: republican'}, 'confidence: 0.9310344827586207')
({'duty-free-exports: no', 'Class Name: republican'}, {'physician-fee-freeze: yes', 'crime: yes'}, 'confidence: 0.9507042253521126')
({'duty-free-exports: no', 'Class Name: republican', 'physician-fee-freeze: yes'}, {'crime: yes'}, 'confidence: 0.9642857142857143')
({'duty-free-exports: no', 'Class Name: republican', 'crime: yes'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9926470588235294')
({'aid-to-nicaraguan-contras: no', 'physician-fee-freeze: yes'}, {'mx-missile: no', 'crime: yes'}, 'confidence: 0.916083916083916')
({'aid-to-nicaraguan-contras: no', 'physician-fee-freeze: yes', 'crime: yes'}, {'mx-missile: no'}, 'confidence: 0.9492753623188406')
({'aid-to-nicaraguan-contras: no', 'mx-missile: no', 'physician-fee-freeze: yes'}, {'crime: yes'}, 'confidence: 0.9632352941176471')
({'Class Name: republican', 'adoption-of-the-budget-resolution: no'}, {'mx-missile: no', 'physician-fee-freeze: yes'}, 'confidence: 0.9225352112676056')
({'Class Name: republican', 'physician-fee-freeze: yes', 'adoption-of-the-budget-resolution: no'}, {'mx-missile: no'}, 'confidence: 0.9357142857142857')
({'mx-missile: no', 'Class Name: republican', 'physician-fee-freeze: yes'}, {'adoption-of-the-budget-resolution: no'}, 'confidence: 0.903448275862069')
({'mx-missile: no', 'physician-fee-freeze: yes', 'adoption-of-the-budget-resolution: no'}, {'Class Name: republican'}, 'confidence: 0.9703703703703703')
({'mx-missile: no', 'Class Name: republican', 'adoption-of-the-budget-resolution: no'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9924242424242424')
({'el-salvador-aid: yes', 'education-spending: yes'}, {'religious-groups-in-schools: yes', 'crime: yes'}, 'confidence: 0.912751677852349')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'education-spending: yes'}, {'crime: yes'}, 'confidence: 0.9645390070921985')
({'el-salvador-aid: yes', 'crime: yes', 'education-spending: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9444444444444444')
({'religious-groups-in-schools: yes', 'crime: yes', 'education-spending: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.918918918918919')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'education-spending: yes'}, {'mx-missile: no'}, 'confidence: 0.9290780141843972')
({'mx-missile: no', 'education-spending: yes'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9290780141843972')
({'el-salvador-aid: yes', 'mx-missile: no', 'education-spending: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9562043795620438')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'education-spending: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9703703703703703')
({'el-salvador-aid: yes', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes', 'crime: yes'}, 'confidence: 0.9')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'superfund-right-to-sue: yes'}, {'crime: yes'}, 'confidence: 0.95625')
({'el-salvador-aid: yes', 'crime: yes', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9444444444444444')
({'religious-groups-in-schools: yes', 'crime: yes', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9216867469879518')
({'superfund-right-to-sue: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9115646258503401')
({'el-salvador-aid: yes', 'superfund-right-to-sue: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9710144927536232')
({'religious-groups-in-schools: yes', 'superfund-right-to-sue: yes', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9370629370629371')
({'aid-to-nicaraguan-contras: no', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9328859060402684')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.952054794520548')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9788732394366197')
({'mx-missile: no', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9102564102564102')
({'el-salvador-aid: yes', 'mx-missile: no', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9530201342281879')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9530201342281879')
({'duty-free-exports: no', 'el-salvador-aid: yes', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9452054794520548')
({'religious-groups-in-schools: yes', 'Class Name: republican'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9194630872483222')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'Class Name: republican'}, {'crime: yes'}, 'confidence: 0.9448275862068966')
({'el-salvador-aid: yes', 'Class Name: republican', 'crime: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9194630872483222')
({'religious-groups-in-schools: yes', 'Class Name: republican', 'crime: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9785714285714285')
({'religious-groups-in-schools: yes', 'handicapped-infants: no', 'el-salvador-aid: yes'}, {'crime: yes'}, 'confidence: 0.9251700680272109')
({'handicapped-infants: no', 'el-salvador-aid: yes', 'crime: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9379310344827586')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'adoption-of-the-budget-resolution: no'}, {'crime: yes'}, 'confidence: 0.9507042253521126')
({'el-salvador-aid: yes', 'crime: yes', 'adoption-of-the-budget-resolution: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9246575342465754')
({'religious-groups-in-schools: yes', 'crime: yes', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9507042253521126')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'anti-satellite-test-ban: no'}, {'crime: yes'}, 'confidence: 0.9230769230769231')
({'crime: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9171974522292994')
({'el-salvador-aid: yes', 'crime: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.96')
({'religious-groups-in-schools: yes', 'crime: yes', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9664429530201343')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.927710843373494')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes'}, {'crime: yes'}, 'confidence: 0.9565217391304348')
({'aid-to-nicaraguan-contras: no', 'crime: yes'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.927710843373494')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'crime: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9390243902439024')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'crime: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9871794871794872')
({'el-salvador-aid: yes', 'mx-missile: no', 'religious-groups-in-schools: yes'}, {'crime: yes'}, 'confidence: 0.9137931034482759')
({'mx-missile: no', 'crime: yes'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9034090909090909')
({'el-salvador-aid: yes', 'mx-missile: no', 'crime: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9464285714285714')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'crime: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9578313253012049')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'el-salvador-aid: yes'}, {'crime: yes'}, 'confidence: 0.9440993788819876')
({'duty-free-exports: no', 'el-salvador-aid: yes', 'crime: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9382716049382716')
({'religious-groups-in-schools: yes', 'Class Name: republican'}, {'el-salvador-aid: yes', 'mx-missile: no'}, 'confidence: 0.9194630872483222')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'Class Name: republican'}, {'mx-missile: no'}, 'confidence: 0.9448275862068966')
({'mx-missile: no', 'Class Name: republican'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9383561643835616')
({'el-salvador-aid: yes', 'mx-missile: no', 'Class Name: republican'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9448275862068966')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'Class Name: republican'}, {'el-salvador-aid: yes'}, 'confidence: 0.9927536231884058')
({'religious-groups-in-schools: yes', 'handicapped-infants: no', 'el-salvador-aid: yes'}, {'mx-missile: no'}, 'confidence: 0.9183673469387755')
({'el-salvador-aid: yes', 'handicapped-infants: no', 'mx-missile: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9507042253521126')
({'religious-groups-in-schools: yes', 'handicapped-infants: no', 'mx-missile: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9507042253521126')
({'religious-groups-in-schools: yes', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes', 'mx-missile: no'}, 'confidence: 0.9006622516556292')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'adoption-of-the-budget-resolution: no'}, {'mx-missile: no'}, 'confidence: 0.9577464788732394')
({'mx-missile: no', 'adoption-of-the-budget-resolution: no'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9315068493150684')
({'el-salvador-aid: yes', 'mx-missile: no', 'adoption-of-the-budget-resolution: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9444444444444444')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9855072463768116')
({'aid-to-nicaraguan-contras: no', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9395973154362416')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.958904109589041')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9790209790209791')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'anti-satellite-test-ban: no'}, {'mx-missile: no'}, 'confidence: 0.9230769230769231')
({'mx-missile: no', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9230769230769231')
({'el-salvador-aid: yes', 'mx-missile: no', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.96')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9664429530201343')
({'duty-free-exports: no', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.912751677852349')
({'duty-free-exports: no', 'el-salvador-aid: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9645390070921985')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9444444444444444')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes'}, {'mx-missile: no'}, 'confidence: 0.9254658385093167')
({'aid-to-nicaraguan-contras: no', 'mx-missile: no'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9197530864197531')
({'el-salvador-aid: yes', 'aid-to-nicaraguan-contras: no', 'mx-missile: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9430379746835443')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'mx-missile: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9738562091503268')
({'duty-free-exports: no', 'aid-to-nicaraguan-contras: no'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9210526315789473')
({'duty-free-exports: no', 'el-salvador-aid: yes', 'aid-to-nicaraguan-contras: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9459459459459459')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'aid-to-nicaraguan-contras: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9722222222222222')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'el-salvador-aid: yes'}, {'mx-missile: no'}, 'confidence: 0.9006211180124224')
({'el-salvador-aid: yes', 'duty-free-exports: no', 'mx-missile: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9602649006622517')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'mx-missile: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9477124183006536')
({'el-salvador-aid: yes', 'crime: yes', 'education-spending: yes'}, {'mx-missile: no'}, 'confidence: 0.9166666666666666')
({'mx-missile: no', 'education-spending: yes'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9361702127659575')
({'el-salvador-aid: yes', 'mx-missile: no', 'education-spending: yes'}, {'crime: yes'}, 'confidence: 0.9635036496350365')
({'mx-missile: no', 'crime: yes', 'education-spending: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9777777777777777')
({'superfund-right-to-sue: yes', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9047619047619048')
({'el-salvador-aid: yes', 'superfund-right-to-sue: yes', 'anti-satellite-test-ban: no'}, {'crime: yes'}, 'confidence: 0.9637681159420289')
({'crime: yes', 'superfund-right-to-sue: yes', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9708029197080292')
({'aid-to-nicaraguan-contras: no', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9463087248322147')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'superfund-right-to-sue: yes'}, {'crime: yes'}, 'confidence: 0.9657534246575342')
({'aid-to-nicaraguan-contras: no', 'crime: yes', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9929577464788732')
({'mx-missile: no', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9038461538461539')
({'el-salvador-aid: yes', 'mx-missile: no', 'superfund-right-to-sue: yes'}, {'crime: yes'}, 'confidence: 0.9463087248322147')
({'mx-missile: no', 'crime: yes', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9724137931034482')
({'duty-free-exports: no', 'el-salvador-aid: yes', 'superfund-right-to-sue: yes'}, {'crime: yes'}, 'confidence: 0.9726027397260274')
({'duty-free-exports: no', 'crime: yes', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9342105263157895')
({'aid-to-nicaraguan-contras: no', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes', 'mx-missile: no'}, 'confidence: 0.9060402684563759')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'superfund-right-to-sue: yes'}, {'mx-missile: no'}, 'confidence: 0.9246575342465754')
({'el-salvador-aid: yes', 'mx-missile: no', 'superfund-right-to-sue: yes'}, {'aid-to-nicaraguan-contras: no'}, 'confidence: 0.9060402684563759')
({'aid-to-nicaraguan-contras: no', 'mx-missile: no', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9782608695652174')
({'duty-free-exports: no', 'aid-to-nicaraguan-contras: no', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9776119402985075')
({'Class Name: republican', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9225352112676056')
({'el-salvador-aid: yes', 'Class Name: republican', 'adoption-of-the-budget-resolution: no'}, {'crime: yes'}, 'confidence: 0.9492753623188406')
({'Class Name: republican', 'crime: yes', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9703703703703703')
({'el-salvador-aid: yes', 'Class Name: republican', 'crime: yes'}, {'mx-missile: no'}, 'confidence: 0.9194630872483222')
({'mx-missile: no', 'Class Name: republican'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9383561643835616')
({'el-salvador-aid: yes', 'mx-missile: no', 'Class Name: republican'}, {'crime: yes'}, 'confidence: 0.9448275862068966')
({'mx-missile: no', 'Class Name: republican', 'crime: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9927536231884058')
({'el-salvador-aid: yes', 'crime: yes', 'adoption-of-the-budget-resolution: no'}, {'aid-to-nicaraguan-contras: no'}, 'confidence: 0.9041095890410958')
({'aid-to-nicaraguan-contras: no', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9428571428571428')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'adoption-of-the-budget-resolution: no'}, {'crime: yes'}, 'confidence: 0.9635036496350365')
({'aid-to-nicaraguan-contras: no', 'crime: yes', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9850746268656716')
({'el-salvador-aid: yes', 'crime: yes', 'adoption-of-the-budget-resolution: no'}, {'mx-missile: no'}, 'confidence: 0.9383561643835616')
({'mx-missile: no', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9383561643835616')
({'el-salvador-aid: yes', 'mx-missile: no', 'adoption-of-the-budget-resolution: no'}, {'crime: yes'}, 'confidence: 0.9513888888888888')
({'mx-missile: no', 'crime: yes', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9856115107913669')
({'el-salvador-aid: yes', 'crime: yes', 'anti-satellite-test-ban: no'}, {'aid-to-nicaraguan-contras: no'}, 'confidence: 0.9266666666666666')
({'aid-to-nicaraguan-contras: no', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9328859060402684')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'anti-satellite-test-ban: no'}, {'crime: yes'}, 'confidence: 0.952054794520548')
({'aid-to-nicaraguan-contras: no', 'crime: yes', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9928571428571429')
({'el-salvador-aid: yes', 'crime: yes', 'anti-satellite-test-ban: no'}, {'mx-missile: no'}, 'confidence: 0.9333333333333333')
({'el-salvador-aid: yes', 'mx-missile: no', 'anti-satellite-test-ban: no'}, {'crime: yes'}, 'confidence: 0.9333333333333333')
({'mx-missile: no', 'crime: yes', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9859154929577465')
({'duty-free-exports: no', 'el-salvador-aid: yes', 'anti-satellite-test-ban: no'}, {'crime: yes'}, 'confidence: 0.9361702127659575')
({'duty-free-exports: no', 'crime: yes', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9705882352941176')
({'aid-to-nicaraguan-contras: no', 'crime: yes'}, {'el-salvador-aid: yes', 'mx-missile: no'}, 'confidence: 0.9036144578313253')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'crime: yes'}, {'mx-missile: no'}, 'confidence: 0.9146341463414634')
({'aid-to-nicaraguan-contras: no', 'mx-missile: no'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9259259259259259')
({'el-salvador-aid: yes', 'aid-to-nicaraguan-contras: no', 'mx-missile: no'}, {'crime: yes'}, 'confidence: 0.9493670886075949')
({'aid-to-nicaraguan-contras: no', 'mx-missile: no', 'crime: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9868421052631579')
({'duty-free-exports: no', 'aid-to-nicaraguan-contras: no'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9342105263157895')
({'duty-free-exports: no', 'el-salvador-aid: yes', 'aid-to-nicaraguan-contras: no'}, {'crime: yes'}, 'confidence: 0.9594594594594594')
({'duty-free-exports: no', 'aid-to-nicaraguan-contras: no', 'crime: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9861111111111112')
({'el-salvador-aid: yes', 'duty-free-exports: no', 'mx-missile: no'}, {'crime: yes'}, 'confidence: 0.9470198675496688')
({'duty-free-exports: no', 'mx-missile: no', 'crime: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.959731543624161')
({'Class Name: republican', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes', 'mx-missile: no'}, 'confidence: 0.9225352112676056')
({'el-salvador-aid: yes', 'Class Name: republican', 'adoption-of-the-budget-resolution: no'}, {'mx-missile: no'}, 'confidence: 0.9492753623188406')
({'el-salvador-aid: yes', 'mx-missile: no', 'Class Name: republican'}, {'adoption-of-the-budget-resolution: no'}, 'confidence: 0.903448275862069')
({'el-salvador-aid: yes', 'mx-missile: no', 'adoption-of-the-budget-resolution: no'}, {'Class Name: republican'}, 'confidence: 0.9097222222222222')
({'mx-missile: no', 'Class Name: republican', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9924242424242424')
({'aid-to-nicaraguan-contras: no', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes', 'mx-missile: no'}, 'confidence: 0.95')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'adoption-of-the-budget-resolution: no'}, {'mx-missile: no'}, 'confidence: 0.9708029197080292')
({'mx-missile: no', 'adoption-of-the-budget-resolution: no'}, {'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes'}, 'confidence: 0.910958904109589')
({'el-salvador-aid: yes', 'mx-missile: no', 'adoption-of-the-budget-resolution: no'}, {'aid-to-nicaraguan-contras: no'}, 'confidence: 0.9236111111111112')
({'aid-to-nicaraguan-contras: no', 'mx-missile: no', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9851851851851852')
({'aid-to-nicaraguan-contras: no', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes', 'mx-missile: no'}, 'confidence: 0.9328859060402684')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes', 'anti-satellite-test-ban: no'}, {'mx-missile: no'}, 'confidence: 0.952054794520548')
({'el-salvador-aid: yes', 'mx-missile: no', 'anti-satellite-test-ban: no'}, {'aid-to-nicaraguan-contras: no'}, 'confidence: 0.9266666666666666')
({'aid-to-nicaraguan-contras: no', 'mx-missile: no', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9788732394366197')
({'duty-free-exports: no', 'el-salvador-aid: yes', 'anti-satellite-test-ban: no'}, {'mx-missile: no'}, 'confidence: 0.9361702127659575')
({'duty-free-exports: no', 'mx-missile: no', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9705882352941176')
({'duty-free-exports: no', 'aid-to-nicaraguan-contras: no'}, {'el-salvador-aid: yes', 'mx-missile: no'}, 'confidence: 0.9078947368421053')
({'duty-free-exports: no', 'el-salvador-aid: yes', 'aid-to-nicaraguan-contras: no'}, {'mx-missile: no'}, 'confidence: 0.9324324324324325')
({'el-salvador-aid: yes', 'duty-free-exports: no', 'mx-missile: no'}, {'aid-to-nicaraguan-contras: no'}, 'confidence: 0.9139072847682119')
({'duty-free-exports: no', 'mx-missile: no', 'aid-to-nicaraguan-contras: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.971830985915493')
({'superfund-right-to-sue: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes', 'crime: yes'}, 'confidence: 0.9047619047619048')
({'religious-groups-in-schools: yes', 'superfund-right-to-sue: yes', 'anti-satellite-test-ban: no'}, {'crime: yes'}, 'confidence: 0.9300699300699301')
({'crime: yes', 'superfund-right-to-sue: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9708029197080292')
({'aid-to-nicaraguan-contras: no', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes', 'crime: yes'}, 'confidence: 0.912751677852349')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'superfund-right-to-sue: yes'}, {'crime: yes'}, 'confidence: 0.9577464788732394')
({'aid-to-nicaraguan-contras: no', 'crime: yes', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9577464788732394')
